"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 07- 10","27.37","27.39","27.73","26.66","87.60M","2.70%"
"2025- 07- 09","26.65","26.63","27.41","25.89","86.82M","1.06%"
"2025- 07- 08","26.37","25.63","27.03","25.36","90.46M","5.61%"
"2025- 07- 07","24.97","25.73","26.05","24.62","93.30M","-5.52%"
"2025- 07- 03","26.43","26.40","26.72","26.23","62.70M","1.46%"
"2025- 07- 02","26.05","24.51","26.39","24.45","107.16M","5.42%"
"2025- 07- 01","24.71","24.38","25.17","23.58","107.28M","-1.59%"
"2025- 06- 30","25.11","25.49","25.50","24.68","78.04M","0.00%"
"2025- 06- 27","25.11","25.21","25.84","24.28","113.66M","-0.36%"
"2025- 06- 26","25.20","25.18","25.35","24.59","92.38M","2.52%"
"2025- 06- 25","24.58","24.40","24.60","23.87","107.62M","2.63%"
"2025- 06- 24","23.95","22.66","24.03","22.63","137.61M","10.98%"
"2025- 06- 23","21.58","21.18","21.98","20.28","125.14M","1.74%"
"2025- 06- 20","21.21","22.14","22.33","20.37","137.08M","-1.85%"
"2025- 06- 18","21.61","21.72","22.38","21.23","113.89M","0.89%"
"2025- 06- 17","21.42","21.61","22.53","21.34","122.38M","-2.19%"
"2025- 06- 16","21.90","20.83","22.22","20.79","121.97M","9.28%"
"2025- 06- 13","20.04","20.32","21.06","19.84","166.99M","-7.61%"
"2025- 06- 12","21.69","21.24","22.07","21.09","100.38M","0.23%"
"2025- 06- 11","21.64","22.36","22.59","20.99","160.40M","-1.14%"
"2025- 06- 10","21.89","20.84","22.10","20.69","142.81M","6.37%"
"2025- 06- 09","20.58","19.71","21.06","19.68","162.69M","7.30%"
"2025- 06- 06","19.18","19.40","19.95","19.15","114.40M","1.97%"
"2025- 06- 05","18.81","19.49","19.99","18.42","188.99M","-1.47%"
"2025- 06- 04","19.09","18.68","19.26","18.22","146.33M","4.32%"
"2025- 06- 03","18.30","16.93","18.38","16.58","158.64M","8.28%"
"2025- 06- 02","16.90","16.06","17.09","16.04","103.94M","4.51%"
"2025- 05- 30","16.17","16.90","16.90","15.24","194.06M","-5.99%"
"2025- 05- 29","17.20","18.18","18.21","16.90","181.71M","0.94%"
"2025- 05- 28","17.04","17.43","17.57","16.90","126.79M","-1.45%"
"2025- 05- 27","17.29","16.74","17.51","16.35","136.54M","9.92%"
"2025- 05- 23","15.73","15.21","16.00","15.10","179.06M","-4.72%"
"2025- 05- 22","16.51","16.97","17.43","16.48","144.98M","-2.88%"
"2025- 05- 21","17.00","17.56","18.59","16.65","149.96M","-5.40%"
"2025- 05- 20","17.97","17.62","18.00","17.44","84.25M","-0.50%"
"2025- 05- 19","18.06","17.15","18.21","17.09","123.63M","-1.79%"
"2025- 05- 16","18.39","18.53","18.60","17.76","113.07M","-0.43%"
"2025- 05- 15","18.47","18.32","18.91","17.82","141.29M","-1.96%"
"2025- 05- 14","18.84","18.97","19.37","18.43","179.34M","1.29%"
"2025- 05- 13","18.60","17.36","18.86","17.28","212.93M","8.58%"
"2025- 05- 12","17.13","16.89","17.47","16.50","263.81M","21.40%"
"2025- 05- 09","14.11","14.21","14.47","13.74","149.64M","3.29%"
"2025- 05- 08","13.66","13.84","14.34","13.38","203.28M","2.86%"
"2025- 05- 07","13.28","12.61","13.40","12.23","190.95M","5.06%"
"2025- 05- 06","12.64","12.33","12.95","12.12","158.55M","-3.14%"
"2025- 05- 05","13.05","12.93","13.41","12.87","127.57M","-1.81%"
"2025- 05- 02","13.29","12.89","13.69","12.89","223.41M","9.83%"
"2025- 05- 01","12.10","12.53","12.81","12.05","203.35M","-0.49%"
"2025- 04- 30","12.16","10.99","12.21","10.75","229.39M","2.53%"
"2025- 04- 29","11.86","11.81","12.27","11.62","184.05M","-3.50%"
"2025- 04- 28","12.29","12.16","12.53","11.45","203.47M","-0.41%"
"2025- 04- 25","12.34","11.63","12.59","11.51","274.44M","2.83%"
"2025- 04- 24","12.00","11.05","12.09","10.85","339.64M","16.62%"
"2025- 04- 23","10.29","10.58","10.90","10.10","368.46M","12.09%"
"2025- 04- 22","9.18","8.95","9.40","8.85","249.21M","5.40%"
"2025- 04- 21","8.71","8.67","8.74","8.15","255.32M","-5.33%"
"2025- 04- 17","9.20","9.55","9.55","8.90","233.66M","-1.50%"
"2025- 04- 16","9.34","9.13","9.75","8.33","362.44M","-11.89%"
"2025- 04- 15","10.60","10.60","11.02","10.41","230.00M","1.24%"
"2025- 04- 14","10.47","11.15","11.16","9.97","358.85M","2.35%"
"2025- 04- 11","10.23","9.35","10.39","8.91","412.97M","6.23%"
"2025- 04- 10","9.63","10.91","11.14","8.35","686.33M","-24.59%"
"2025- 04- 09","12.77","8.48","13.11","8.24","787.75M","54.79%"
"2025- 04- 08","8.25","10.41","10.84","7.60","488.74M","-9.84%"
"2025- 04- 07","9.15","7.88","10.98","7.22","723.47M","4.81%"
"2025- 04- 04","8.73","10.05","10.43","8.18","499.16M","-23.49%"
"2025- 04- 03","11.41","13.81","14.12","11.40","302.52M","-29.83%"
"2025- 04- 02","16.26","15.19","16.89","15.03","141.66M","1.94%"
"2025- 04- 01","15.95","15.73","15.99","14.82","106.09M","0.00%"
"2025- 03- 31","15.95","15.07","15.98","14.40","111.35M","-0.50%"
"2025- 03- 28","16.03","17.33","17.59","15.74","138.23M","-9.74%"
"2025- 03- 27","17.76","18.17","18.41","17.36","103.11M","-5.48%"
"2025- 03- 26","18.79","20.30","20.51","18.20","95.65M","-8.56%"
"2025- 03- 25","20.55","20.83","21.02","20.35","57.78M","-2.14%"
"2025- 03- 24","21.00","20.48","21.37","20.37","91.67M","8.92%"
"2025- 03- 21","19.28","18.82","19.49","18.37","84.35M","-3.26%"
"2025- 03- 20","19.93","19.61","20.57","19.59","80.38M","-2.21%"
"2025- 03- 19","20.38","19.89","21.37","19.46","83.25M","2.26%"
"2025- 03- 18","19.93","20.19","20.40","19.52","79.14M","-4.14%"
"2025- 03- 17","20.79","19.51","21.28","19.50","82.79M","5.00%"
"2025- 03- 14","19.80","19.06","19.93","18.99","99.72M","9.45%"
"2025- 03- 13","18.09","18.38","19.27","17.58","117.16M","-1.15%"
"2025- 03- 12","18.30","18.54","19.11","17.90","137.65M","5.11%"
"2025- 03- 11","17.41","18.05","18.50","16.51","161.27M","-3.22%"
"2025- 03- 10","17.99","19.34","19.80","17.10","169.22M","-13.84%"
"2025- 03- 07","20.88","19.50","21.09","18.75","139.35M","8.58%"
"2025- 03- 06","19.23","19.71","21.02","19.01","164.28M","-12.39%"
"2025- 03- 05","21.95","21.25","22.16","20.12","117.70M","6.30%"
"2025- 03- 04","20.65","20.28","22.26","19.00","154.12M","0.68%"
"2025- 03- 03","20.51","23.72","23.73","19.71","141.82M","-9.77%"
"2025- 02- 28","22.73","21.80","23.22","21.02","110.94M","4.51%"
"2025- 02- 27","21.75","26.78","26.90","21.73","144.84M","-17.27%"
"2025- 02- 26","26.29","25.99","27.00","25.52","75.87M","4.87%"
"2025- 02- 25","25.07","26.66","26.92","24.82","90.91M","-6.32%"
"2025- 02- 24","26.76","29.16","29.26","26.66","63.72M","-7.12%"
"2025- 02- 21","28.81","31.91","31.96","28.40","61.97M","-9.12%"
"2025- 02- 20","31.70","32.06","32.64","30.70","50.90M","0.73%"
"2025- 02- 19","31.47","30.19","31.89","29.76","58.41M","4.93%"
"2025- 02- 18","29.99","29.20","30.23","28.71","60.22M","5.04%"
"2025- 02- 14","28.55","28.49","28.82","28.10","43.09M","0.28%"
"2025- 02- 13","28.47","27.49","28.55","27.40","61.03M","3.38%"
"2025- 02- 12","27.54","26.18","27.54","25.95","58.00M","0.51%"
"2025- 02- 11","27.40","26.68","27.90","26.68","43.88M","0.18%"
"2025- 02- 10","27.35","26.92","27.55","26.90","53.33M","3.87%"
"2025- 02- 07","26.33","27.87","28.28","25.80","87.93M","-4.91%"
"2025- 02- 06","27.69","27.17","27.80","26.72","59.74M","-0.04%"
"2025- 02- 05","27.70","26.09","27.95","25.54","70.33M","5.52%"
"2025- 02- 04","26.25","25.34","26.60","25.20","60.52M","2.50%"
"2025- 02- 03","25.61","24.80","26.49","24.31","103.91M","-5.22%"
"2025- 01- 31","27.02","27.63","29.25","26.70","102.62M","-0.48%"
"2025- 01- 30","27.15","26.58","27.67","26.14","87.14M","5.72%"
"2025- 01- 29","25.68","26.11","26.30","24.85","94.14M","1.22%"
"2025- 01- 28","25.37","25.44","25.80","23.75","103.19M","1.24%"
"2025- 01- 27","25.06","27.66","28.08","23.84","198.43M","-23.25%"
"2025- 01- 24","32.65","34.94","34.94","32.31","60.11M","-6.50%"
"2025- 01- 23","34.92","33.44","34.92","33.01","44.90M","-0.65%"
"2025- 01- 22","35.15","34.69","36.15","34.41","57.71M","4.33%"
"2025- 01- 21","33.69","33.33","34.53","32.50","60.90M","3.69%"
"2025- 01- 17","32.49","32.03","32.71","31.48","69.69M","8.34%"
"2025- 01- 16","29.99","31.46","31.72","29.99","78.88M","0.17%"
"2025- 01- 15","29.94","29.65","30.46","29.30","69.46M","6.47%"
"2025- 01- 14","28.12","28.47","28.96","27.18","79.76M","0.97%"
"2025- 01- 13","27.85","26.44","27.87","26.25","68.29M","-0.75%"
"2025- 01- 10","28.06","29.06","29.09","27.44","85.40M","-7.02%"
"2025- 01- 08","30.18","30.80","31.01","29.18","69.52M","-3.11%"
"2025- 01- 07","31.15","33.57","33.73","30.60","79.21M","-4.12%"
"2025- 01- 06","32.49","31.81","33.63","31.81","95.16M","8.95%"
"2025- 01- 03","29.82","28.32","30.12","28.16","72.12M","7.77%"
"2025- 01- 02","27.67","28.13","29.05","27.03","81.00M","1.32%"
"2024- 12- 31","27.31","28.20","28.57","26.93","61.20M","-2.25%"
"2024- 12- 30","27.94","28.24","28.78","27.32","64.86M","-5.89%"
"2024- 12- 27","29.69","29.98","30.18","28.59","59.32M","-2.88%"
"2024- 12- 26","30.57","29.90","31.10","29.76","45.35M","0.30%"
"2024- 12- 24","30.48","30.26","30.57","29.66","39.96M","3.01%"
"2024- 12- 23","29.59","27.89","29.76","27.86","79.33M","8.39%"
"2024- 12- 20","27.30","25.82","28.37","25.59","108.08M","3.80%"
"2024- 12- 19","26.30","27.97","28.01","26.06","86.52M","-5.50%"
"2024- 12- 18","27.83","31.78","32.48","27.00","102.91M","-10.60%"
"2024- 12- 17","31.13","31.58","32.09","30.55","64.50M","-4.24%"
"2024- 12- 16","32.51","31.12","32.95","30.39","85.47M","5.90%"
"2024- 12- 13","30.70","30.37","31.31","29.49","103.69M","7.87%"
"2024- 12- 12","28.46","28.45","28.83","27.74","59.94M","-2.27%"
"2024- 12- 11","29.12","28.33","29.63","27.79","77.28M","7.61%"
"2024- 12- 10","27.06","29.43","29.53","26.56","77.68M","-7.42%"
"2024- 12- 09","29.23","29.07","30.32","28.61","54.96M","-1.28%"
"2024- 12- 06","29.61","29.20","29.86","28.90","49.15M","1.68%"
"2024- 12- 05","29.12","30.75","30.87","28.88","59.28M","-5.70%"
"2024- 12- 04","30.88","31.54","31.56","30.24","67.50M","3.87%"
"2024- 12- 03","29.73","29.58","30.28","29.40","59.73M","-1.56%"
"2024- 12- 02","30.20","28.56","30.80","28.46","89.39M","7.63%"
"2024- 11- 29","28.06","27.55","29.04","27.50","54.30M","4.00%"
"2024- 11- 27","26.98","27.68","27.75","25.58","84.24M","-4.09%"
"2024- 11- 26","28.13","30.04","30.25","27.46","73.20M","-4.09%"
"2024- 11- 25","29.33","29.58","30.10","28.74","70.54M","2.95%"
"2024- 11- 22","28.49","28.25","28.69","27.84","52.60M","0.00%"
"2024- 11- 21","28.49","28.05","28.92","26.47","106.01M","5.01%"
"2024- 11- 20","27.13","27.33","27.56","26.00","90.91M","-2.59%"
"2024- 11- 19","27.85","27.37","28.03","27.09","57.03M","0.65%"
