"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 07- 22","52.93","50.05","52.95","48.81","73.68M","12.62%"
"2024- 07- 19","47.00","51.78","52.37","46.75","75.97M","-9.02%"
"2024- 07- 18","51.66","54.16","54.17","49.12","94.17M","0.21%"
"2024- 07- 17","51.55","58.60","59.30","51.22","99.43M","-21.06%"
"2024- 07- 16","65.30","65.02","65.59","62.23","39.85M","1.81%"
"2024- 07- 15","64.14","64.94","66.76","63.05","48.23M","0.31%"
"2024- 07- 12","63.94","62.84","67.30","61.65","51.05M","3.15%"
"2024- 07- 11","61.99","70.01","70.08","61.22","75.37M","-9.62%"
"2024- 07- 10","68.59","65.89","69.00","65.01","48.28M","6.75%"
"2024- 07- 09","64.25","65.13","66.14","62.42","41.95M","-0.09%"
"2024- 07- 08","64.31","62.26","64.50","62.20","42.86M","5.76%"
"2024- 07- 05","60.81","61.86","62.38","59.79","38.40M","0.70%"
"2024- 07- 03","60.39","58.10","61.51","57.18","40.24M","4.84%"
"2024- 07- 02","57.60","54.36","57.75","54.28","45.01M","4.05%"
"2024- 07- 01","55.36","55.36","55.55","52.25","43.34M","0.00%"
"2024- 06- 28","55.36","54.87","58.58","54.08","55.59M","2.90%"
"2024- 06- 27","53.80","54.33","55.58","52.82","35.42M","-1.79%"
"2024- 06- 26","54.78","55.16","56.22","52.85","41.09M","-0.94%"
"2024- 06- 25","55.30","54.23","55.45","52.35","44.27M","3.91%"
"2024- 06- 24","53.22","56.45","57.49","53.03","54.33M","-8.56%"
"2024- 06- 21","58.20","58.42","60.18","56.03","50.36M","-3.03%"
"2024- 06- 20","60.02","65.52","65.83","58.79","60.85M","-8.00%"
"2024- 06- 18","65.24","63.42","66.19","63.10","47.07M","4.10%"
"2024- 06- 17","62.67","61.00","63.15","58.95","54.20M","4.28%"
"2024- 06- 14","60.10","58.95","60.55","58.35","39.11M","-1.25%"
"2024- 06- 13","60.86","60.07","61.49","58.30","45.66M","3.64%"
"2024- 06- 12","58.72","57.24","59.45","56.81","73.76M","8.40%"
"2024- 06- 11","54.17","53.38","54.48","51.70","37.70M","0.41%"
"2024- 06- 10","53.95","50.52","54.58","50.42","43.86M","4.01%"
"2024- 06- 07","51.87","52.23","52.90","50.81","50.25M","-1.22%"
"2024- 06- 06","52.51","53.79","53.79","51.23","43.95M","-1.89%"
"2024- 06- 05","53.52","50.03","53.87","49.56","66.56M","12.46%"
"2024- 06- 04","47.59","48.46","48.65","46.43","46.69M","-2.06%"
"2024- 06- 03","48.59","50.81","50.93","46.12","53.13M","0.00%"
"2024- 05- 31","48.59","50.30","50.72","44.38","72.52M","-2.82%"
"2024- 05- 30","50.00","50.84","51.34","48.98","38.61M","-1.92%"
"2024- 05- 29","50.98","51.15","51.92","50.65","42.97M","-5.66%"
"2024- 05- 28","54.04","53.34","54.89","51.75","50.66M","5.05%"
"2024- 05- 24","51.44","50.02","52.07","49.35","48.48M","5.39%"
"2024- 05- 23","48.81","53.15","53.20","47.55","81.18M","-1.15%"
"2024- 05- 22","49.38","49.25","50.00","48.10","55.49M","2.92%"
"2024- 05- 21","47.98","46.55","48.19","46.41","36.44M","-0.56%"
"2024- 05- 20","48.25","45.96","49.30","45.81","55.10M","6.28%"
"2024- 05- 17","45.40","47.01","47.38","44.33","40.97M","-1.86%"
"2024- 05- 16","46.26","46.96","48.03","46.21","46.33M","-1.57%"
"2024- 05- 15","47.00","44.67","47.07","43.99","58.06M","8.77%"
"2024- 05- 14","43.21","41.18","43.44","41.05","41.58M","4.70%"
"2024- 05- 13","41.27","41.60","42.07","41.08","30.57M","0.58%"
"2024- 05- 10","41.03","41.15","42.24","40.51","47.05M","2.68%"
"2024- 05- 09","39.96","40.40","40.62","39.31","39.13M","-1.11%"
"2024- 05- 08","40.41","39.06","40.50","38.96","53.74M","0.12%"
"2024- 05- 07","40.36","41.53","41.91","40.28","51.51M","-2.28%"
"2024- 05- 06","41.30","39.97","41.38","39.48","48.41M","5.98%"
"2024- 05- 03","38.97","38.75","39.58","38.10","58.60M","6.91%"
"2024- 05- 02","36.45","35.98","36.91","34.12","56.65M","6.05%"
"2024- 05- 01","34.37","36.08","38.06","33.65","97.29M","-9.98%"
"2024- 04- 30","38.18","40.08","41.49","38.12","56.30M","-5.98%"
"2024- 04- 29","40.61","39.60","40.83","38.71","51.12M","2.04%"
"2024- 04- 26","39.80","37.32","40.29","37.01","59.04M","6.39%"
"2024- 04- 25","37.41","35.28","38.18","34.64","80.68M","5.41%"
"2024- 04- 24","35.49","36.91","37.48","34.60","80.37M","4.05%"
"2024- 04- 23","34.11","32.82","34.66","32.59","66.51M","6.36%"
"2024- 04- 22","32.07","31.58","32.85","30.50","65.10M","4.16%"
"2024- 04- 19","30.79","33.96","34.58","30.20","105.24M","-11.80%"
"2024- 04- 18","34.91","36.04","36.80","34.53","91.53M","-5.80%"
"2024- 04- 17","37.06","40.60","40.85","36.64","85.43M","-8.58%"
"2024- 04- 16","40.54","39.75","41.17","39.21","62.70M","1.91%"
"2024- 04- 15","39.78","42.99","43.40","39.10","62.08M","-4.17%"
"2024- 04- 12","41.51","43.32","43.55","41.03","79.98M","-9.37%"
"2024- 04- 11","45.80","43.71","46.05","42.66","64.70M","6.29%"
"2024- 04- 10","43.09","43.11","44.77","42.19","74.89M","-5.07%"
"2024- 04- 09","45.39","45.37","45.85","43.17","66.45M","3.16%"
"2024- 04- 08","44.00","44.50","45.19","43.50","42.78M","0.87%"
"2024- 04- 05","43.62","42.70","44.53","41.94","71.15M","2.95%"
"2024- 04- 04","42.37","48.13","48.49","41.98","82.72M","-8.27%"
